4, Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch), Branch and Cut (warm) (rcb) (rcb-patch), Branch and Cut (warm) (rcb) (both-patch)
1, 130534.0000, 130534.0000, 130534.0000, 130534.0000
2, 129173.0000, 129173.0000, 129173.0000, 129173.0000
3, 128401.0000, 128401.0000, 128401.0000, 128401.0000
4, 126184.0000, 126184.0000, 126184.0000, 126184.0000
5, 130749.0000, 130749.0000, 130749.0000, 130749.0000
6, 130710.0000, 130710.0000, 130710.0000, 130710.0000
7, 130795.0000, 130795.0000, 130795.0000, 130795.0000
8, 125835.0000, 125835.0000, 125835.0000, 125835.0000
9, 129654.0000, 129654.0000, 129654.0000, 129654.0000
10, 133603.0000, 133603.0000, 133603.0000, 133603.0000
11, 131586.0000, 131586.0000, 131586.0000, 131586.0000
12, 128938.0000, 128938.0000, 128938.0000, 128938.0000
13, 125638.0000, 125638.0000, 125638.0000, 125638.0000
14, 127902.0000, 127902.0000, 127902.0000, 127902.0000
15, 130133.0000, 130133.0000, 130133.0000, 130133.0000
16, 127920.0000, 127920.0000, 127920.0000, 127920.0000
17, 126978.0000, 126978.0000, 126978.0000, 126978.0000
18, 127243.0000, 127243.0000, 127243.0000, 127243.0000
19, 128481.0000, 128481.0000, 128481.0000, 128481.0000
20, 127461.0000, 127461.0000, 127461.0000, 127461.0000
