4, Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch), Branch and Cut (warm) (rcb) (rcb-patch), Branch and Cut (warm) (rcb) (both-patch)
1, 47.596, 17.1657, 19.7856, 20.5177
2, 54.0616, 32.7779, 35.1893, 33.5232
3, 30.4547, 22.4732, 21.928, 32.4306
4, 14.0728, 11.151, 14.5111, 11.8894
5, 45.1725, 30.1766, 28.6627, 29.5507
6, 43.3138, 12.6284, 19.3059, 14.7954
7, 45.9027, 18.87, 22.3369, 16.953
8, 24.832, 15.2819, 23.4439, 20.219
9, 31.0395, 16.5234, 20.5542, 18.9611
10, 44.4633, 19.1065, 28.1253, 16.4413
11, 27.5889, 19.0418, 20.3052, 23.8982
12, 100.2452, 58.556, 65.8312, 90.2295
13, 25.8019, 10.9999, 13.5582, 12.2753
14, 26.6198, 22.8325, 25.477, 21.7083
15, 45.5426, 26.4429, 37.594, 28.7562
16, 70.1395, 28.3513, 31.8058, 32.7238
17, 32.8499, 16.7534, 18.7001, 18.3362
18, 30.12, 16.7838, 25.5772, 27.8532
19, 52.912, 29.9612, 39.5012, 42.6474
20, 60.1344, 20.4082, 25.4412, 22.7754
