3, vns, Branch and Cut (warm) (rcb) (ccb-patch), Local Branching v2 (context-whole)
1, 245678.0000, 245030.0000, 240796.0000 
2, 244209.0000, 244850.0000, 242762.0000 
3, 244261.0000, 243267.0000, 241652.0000 
4, 240147.0000, 244656.0000, 239237.0000 
5, 241546.0000, 242555.0000, 239764.0000 
6, 243823.0000, 246259.0000, 242518.0000 
7, 242477.0000, 243533.0000, 240187.0000 
8, 239272.0000, 239665.0000, 234062.0000 
9, 244734.0000, 248123.0000, 241921.0000 
10, 238998.0000, 240742.0000, 238740.0000 
11, 244225.0000, 242685.0000, 239838.0000 
12, 244623.0000, 247402.0000, 236145.0000 
13, 239781.0000, 240928.0000, 240824.0000 
14, 239294.0000, 242605.0000, 238106.0000 
15, 242947.0000, 242149.0000, 236477.0000 
16, 241917.0000, 242757.0000, 239092.0000 
17, 243666.0000, 248251.0000, 240437.0000 
18, 241923.0000, 239800.0000, 238064.0000 
19, 243529.0000, 242771.0000, 236718.0000 
20, 246595.0000, 248101.0000, 240528.0000 
