4, Benders Loop (patch), Branch and Cut, Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch)
1, 122.2623, 51.7642, 47.596, 17.1657
2, 160.7645, 114.9146, 54.0616, 32.7779
3, 125.7443, 62.3499, 30.4547, 22.4732
4, 35.2244, 23.7494, 14.0728, 11.151
5, 93.6365, 93.7079, 45.1725, 30.1766
6, 90.23, 48.5942, 43.3138, 12.6284
7, 125.7847, 50.8906, 45.9027, 18.87
8, 54.6967, 55.2565, 24.832, 15.2819
9, 73.0205, 30.7795, 31.0395, 16.5234
10, 101.5337, 69.8642, 44.4633, 19.1065
11, 130.7725, 78.1299, 27.5889, 19.0418
12, 328.2588, 160.727, 100.2452, 58.556
13, 47.7285, 38.8108, 25.8019, 10.9999
14, 91.629, 84.0235, 26.6198, 22.8325
15, 296.2799, 31.3909, 45.5426, 26.4429
16, 177.4025, 67.7958, 70.1395, 28.3513
17, 95.2894, 42.9612, 32.8499, 16.7534
18, 122.035, 46.3616, 30.12, 16.7838
19, 228.9064, 74.6922, 52.912, 29.9612
20, 117.1955, 49.9124, 60.1344, 20.4082
