5, Branch and Cut (warm) (rcb) (ccb-patch), Hard Fixing (20%), Hard Fixing (40%), Hard Fixing (60%), Hard Fixing (80%)
1, 120.6802, 120.7668, 120.5182, 120.0818, 120.242
2, 120.9338, 122.0644, 121.1886, 120.1907, 120.1691
3, 127.5361, 120.1428, 121.506, 120.2214, 120.6628
4, 120.9638, 121.8718, 121.6001, 120.0804, 120.8687
5, 123.8653, 120.6715, 121.4502, 120.3963, 120.2041
6, 121.0799, 120.6145, 122.3453, 120.0628, 120.6446
7, 123.4462, 120.9633, 120.2919, 120.0589, 120.3839
8, 124.0219, 121.4213, 121.3939, 120.3973, 120.1563
9, 125.2094, 120.487, 121.4436, 120.09, 120.086
10, 122.7017, 120.0915, 120.2146, 121.0716, 120.1706
11, 120.6174, 121.1427, 120.7078, 120.1095, 120.131
12, 121.0435, 121.3772, 120.3241, 120.2397, 120.077
13, 123.7854, 121.2482, 121.2593, 120.1799, 120.2324
14, 124.0835, 121.1237, 120.796, 120.3408, 120.3133
15, 120.7577, 121.1114, 121.8139, 120.1475, 120.9859
16, 126.5805, 120.5081, 121.1465, 120.1114, 120.2034
17, 127.136, 120.5669, 121.3115, 120.3234, 120.1676
18, 120.7753, 120.2547, 122.1113, 120.1403, 120.1693
19, 120.5847, 120.1153, 120.0226, 120.1873, 120.1354
20, 120.9652, 121.5946, 121.4986, 120.0726, 120.1447
