4, greedy, g2opt (fs), g2opt (bs), f2opt
1, 216311.0000, 193009.0000, 191078.0000, 199011.0000
2, 220546.0000, 188114.0000, 186258.0000, 198410.0000
3, 212804.0000, 188685.0000, 186353.0000, 197551.0000
4, 212890.0000, 186142.0000, 183021.0000, 195553.0000
5, 217591.0000, 189169.0000, 187739.0000, 203031.0000
6, 219262.0000, 189588.0000, 188207.0000, 199106.0000
7, 211359.0000, 187388.0000, 185627.0000, 198430.0000
8, 218218.0000, 190890.0000, 188773.0000, 199505.0000
9, 215610.0000, 186200.0000, 184559.0000, 194919.0000
10, 215565.0000, 186632.0000, 185038.0000, 202591.0000
11, 210445.0000, 188949.0000, 186905.0000, 201683.0000
12, 224187.0000, 190751.0000, 189300.0000, 202530.0000
13, 209454.0000, 187162.0000, 185027.0000, 192513.0000
14, 216779.0000, 183898.0000, 182232.0000, 194273.0000
15, 207365.0000, 188473.0000, 186838.0000, 201476.0000
16, 210954.0000, 189152.0000, 188083.0000, 202772.0000
17, 217202.0000, 187358.0000, 185937.0000, 199224.0000
18, 212698.0000, 188347.0000, 186815.0000, 195540.0000
19, 224147.0000, 190641.0000, 188872.0000, 198896.0000
20, 212800.0000, 187783.0000, 186585.0000, 195938.0000
