4, Branch and Cut (warm) (rcb) (ccb-patch), Local Branching v1 (20), Local Branching v1 (50), Local Branching v1 (100)
1, 245030.0000, 259405.0000, 254991.0000, 259405.0000
2, 244850.0000, 261736.0000, 258147.0000, 250972.0000
3, 243267.0000, 257338.0000, 253399.0000, 247364.0000
4, 244656.0000, 255322.0000, 247297.0000, 255322.0000
5, 242555.0000, 254741.0000, 254741.0000, 248166.0000
6, 246259.0000, 258910.0000, 258910.0000, 253257.0000
7, 243533.0000, 251565.0000, 251103.0000, 249739.0000
8, 239665.0000, 248029.0000, 246082.0000, 241677.0000
9, 248123.0000, 253609.0000, 252609.0000, 251842.0000
10, 240742.0000, 250937.0000, 249674.0000, 248735.0000
11, 242685.0000, 252754.0000, 252754.0000, 252754.0000
12, 247402.0000, 259193.0000, 253860.0000, 254148.0000
13, 240928.0000, 247224.0000, 246688.0000, 243391.0000
14, 242605.0000, 245586.0000, 246619.0000, 241701.0000
15, 242149.0000, 254968.0000, 248402.0000, 257743.0000
16, 242757.0000, 249414.0000, 248442.0000, 247403.0000
17, 248251.0000, 255469.0000, 255469.0000, 255469.0000
18, 239800.0000, 248546.0000, 246661.0000, 247235.0000
19, 242771.0000, 254255.0000, 253914.0000, 247163.0000
20, 248101.0000, 254379.0000, 253365.0000, 252323.0000
