4, Branch and Cut (warm) (rcb) (ccb-patch), Local Branching v2, Local Branching v2 (context-whole), Local Branching v2 (context-2)
1, 245030.0000, 244067.0000, 240796.0000, 242572.0000
2, 244850.0000, 243356.0000, 242762.0000, 243091.0000
3, 243267.0000, 240511.0000, 241652.0000, 240581.0000
4, 244656.0000, 241213.0000, 239237.0000, 238888.0000
5, 242555.0000, 237380.0000, 239764.0000, 239861.0000
6, 246259.0000, 243949.0000, 242518.0000, 242480.0000
7, 243533.0000, 239716.0000, 240187.0000, 240337.0000
8, 239665.0000, 236043.0000, 234062.0000, 235215.0000
9, 248123.0000, 242746.0000, 241921.0000, 242353.0000
10, 240742.0000, 238194.0000, 238740.0000, 238837.0000
11, 242685.0000, 242795.0000, 239838.0000, 239838.0000
12, 247402.0000, 240581.0000, 236145.0000, 239471.0000
13, 240928.0000, 237997.0000, 240824.0000, 240442.0000
14, 242605.0000, 235221.0000, 238106.0000, 236842.0000
15, 242149.0000, 237586.0000, 236477.0000, 239676.0000
16, 242757.0000, 240347.0000, 239092.0000, 236569.0000
17, 248251.0000, 238572.0000, 240437.0000, 239057.0000
18, 239800.0000, 240337.0000, 238064.0000, 237461.0000
19, 242771.0000, 239134.0000, 236718.0000, 237421.0000
20, 248101.0000, 240996.0000, 240528.0000, 239656.0000
