4, Branch and Cut (warm) (rcb) (ccb-patch), Local Branching v2, Local Branching v2 (context-whole), Local Branching v2 (context-2)
1, 120.6802, 122.7063, 121.313, 121.1851
2, 120.9338, 120.2037, 120.4611, 120.095
3, 127.5361, 122.0505, 121.149, 122.1181
4, 120.9638, 121.8552, 120.4186, 121.2727
5, 123.8653, 121.9801, 121.024, 121.3963
6, 121.0799, 120.7581, 122.285, 122.9164
7, 123.4462, 120.2923, 122.9405, 121.0812
8, 124.0219, 120.1188, 121.4133, 121.1744
9, 125.2094, 120.4761, 120.8065, 120.9868
10, 122.7017, 121.4833, 121.2008, 120.5653
11, 120.6174, 121.2067, 120.4512, 120.2828
12, 121.0435, 122.2755, 122.034, 120.4611
13, 123.7854, 122.5055, 122.4188, 121.9796
14, 124.0835, 122.758, 123.9931, 120.656
15, 120.7577, 120.332, 120.3813, 120.6861
16, 126.5805, 120.2225, 122.0417, 123.7988
17, 127.136, 120.394, 120.2483, 120.711
18, 120.7753, 120.2495, 120.5184, 121.4259
19, 120.5847, 121.1064, 121.6985, 124.0607
20, 120.9652, 123.2023, 122.6469, 123.8926
