4, Branch and Cut (warm) (rcb) (ccb-patch), Hard Fixing (80%), Local Branching v1 (100), Local Branching v2 (context-whole)
1, 245030.0000, 255461.0000, 259405.0000, 240796.0000
2, 244850.0000, 259800.0000, 250972.0000, 242762.0000
3, 243267.0000, 255982.0000, 247364.0000, 241652.0000
4, 244656.0000, 252663.0000, 255322.0000, 239237.0000
5, 242555.0000, 251321.0000, 248166.0000, 239764.0000
6, 246259.0000, 253967.0000, 253257.0000, 242518.0000
7, 243533.0000, 253632.0000, 249739.0000, 240187.0000
8, 239665.0000, 245405.0000, 241677.0000, 234062.0000
9, 248123.0000, 253486.0000, 251842.0000, 241921.0000
10, 240742.0000, 250944.0000, 248735.0000, 238740.0000
11, 242685.0000, 251213.0000, 252754.0000, 239838.0000
12, 247402.0000, 255057.0000, 254148.0000, 236145.0000
13, 240928.0000, 247977.0000, 243391.0000, 240824.0000
14, 242605.0000, 248581.0000, 241701.0000, 238106.0000
15, 242149.0000, 253195.0000, 257743.0000, 236477.0000
16, 242757.0000, 250682.0000, 247403.0000, 239092.0000
17, 248251.0000, 251106.0000, 255469.0000, 240437.0000
18, 239800.0000, 251087.0000, 247235.0000, 238064.0000
19, 242771.0000, 254001.0000, 247163.0000, 236718.0000
20, 248101.0000, 255979.0000, 252323.0000, 240528.0000
