3, g2opt (bs), tabu (1/5-1/5), vns
1, 191078.0000, 189613.0000, 187499.0000
2, 186258.0000, 184457.0000, 183070.0000
3, 186353.0000, 187338.0000, 186488.0000
4, 183021.0000, 182396.0000, 181839.0000
5, 187739.0000, 187186.0000, 184329.0000
6, 188207.0000, 190293.0000, 184555.0000
7, 185627.0000, 184960.0000, 183021.0000
8, 188773.0000, 188080.0000, 185052.0000
9, 184559.0000, 185052.0000, 181370.0000
10, 185038.0000, 184832.0000, 183626.0000
11, 186905.0000, 186017.0000, 184850.0000
12, 189300.0000, 187749.0000, 186725.0000
13, 185027.0000, 184296.0000, 181225.0000
14, 182232.0000, 182592.0000, 179248.0000
15, 186838.0000, 186838.0000, 185000.0000
16, 188083.0000, 187697.0000, 184905.0000
17, 185937.0000, 186471.0000, 184152.0000
18, 186815.0000, 187213.0000, 182460.0000
19, 188872.0000, 185747.0000, 184958.0000
20, 186585.0000, 184919.0000, 182000.0000
