5, g2opt (bs), tabu (1/10-fixed), tabu (1/5-fixed), tabu (1/10-1/10), tabu (1/5-1/5)
1, 43.7212, 120.0131, 120.0136, 120.0154, 120.0137
2, 46.5803, 120.0143, 120.0128, 120.0134, 120.0145
3, 39.1418, 120.0168, 120.0134, 120.0155, 120.0151
4, 41.7478, 120.0147, 120.0152, 120.0138, 120.0125
5, 44.0488, 120.0151, 120.0146, 120.016, 120.015
6, 42.6546, 120.0124, 120.0142, 120.0139, 120.0165
7, 42.3427, 120.0133, 120.0132, 120.0171, 120.0158
8, 43.4669, 120.0136, 120.0142, 120.0145, 120.0139
9, 43.4135, 120.0145, 120.0129, 120.0141, 120.0129
10, 44.5624, 120.0167, 120.0176, 120.0139, 120.0165
11, 40.1128, 120.0147, 120.0172, 120.017, 120.0171
12, 42.6725, 120.0136, 120.014, 120.02, 120.016
13, 41.7389, 120.0139, 120.016, 120.0146, 120.0127
14, 45.0771, 120.0146, 120.0139, 120.0147, 120.0144
15, 36.9634, 120.0148, 120.0149, 120.0159, 120.0128
16, 38.578, 120.0142, 120.0126, 120.0154, 120.0144
17, 42.7732, 120.014, 120.0126, 120.0173, 120.0144
18, 42.6335, 120.0125, 120.0138, 120.0143, 120.0143
19, 44.3989, 120.0145, 120.014, 120.0139, 120.0169
20, 46.0258, 120.0142, 120.0129, 120.0131, 120.0119
